web-scraper-order,web-scraper-start-url,Haus,Haus-href,ScoutID,Kaufspreis,Zimmer,Maklerprovision,Grunderwerbssteuer,Notarkosten,Grundbucheintrag,Baujahr,Adresse,Wohnflache,Grundstuck
1617892551-251,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1","NEUDer pure Luxus, mehr Haus geht kaum!",https://www.immobilienscout24.de/expose/127476032,127476032,382.500,5,null,24.862,5.737,1.912,null,"15831 Mahlow, Blankenfelde-Mahlow",234 m²,587 m²
1617892449-225,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2",NEUNeubau: Modernes Leben und Wohnen im Grünen – Ihr Grundstück und Haus mit klassischer Architektur,https://www.immobilienscout24.de/expose/127129287,127129287,319.900,4,null,20.793,4.798,1.599,2021,"14943 Luckenwalde, Teltow-Fläming (Kreis)",119 m²,289 m²
1617892487-235,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2",*VERKAUFT*Grundstück mit Bauvorbescheid mit Blick zum See !,https://www.immobilienscout24.de/expose/126338683,126338683,383.185,4,27.359,24.907,5.747,1.915,2021,"15754 Heidesee, Dahme-Spreewald (Kreis)",110 m²,899 m²
1617892515-241,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",Provisionsfrei für den Käufer…Zentrumsnah und doch eine grüne Oase,https://www.immobilienscout24.de/expose/126335045,126335045,279.000,6,null,18.135,4.185,1.395,null,"16356 Werneuchen, Barnim (Kreis)",120 m²,835 m²
1617892544-249,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",Mit Ihren Liebsten unter einem Dach,https://www.immobilienscout24.de/expose/126333671,126333671,370.000,6,null,24.050,5.550,1.850,null,"15566 Schöneiche bei Berlin, Oder-Spree (Kreis)",202 m²,640 m²
1617892476-232,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2",NEUHIGHTECH IN TOP LAGE,https://www.immobilienscout24.de/expose/127262327,127262327,299.000,4,8.910,19.435,4.485,1.495,null,"16269 Wriezen, Märkisch-Oderland (Kreis)",113 m²,756 m²
1617892501-237,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",allkauf: Ihr Haus zum Leben * Life 1,https://www.immobilienscout24.de/expose/112235836,112235836,344.209,4,null,22.373,5.163,1.721,null,"15711 Zeesen, Königs Wusterhausen",125 m²,600 m²
1617892558-253,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",Erfüllen Sie sich Ihren Traum vom Eigenheim und fühlen Sie sich endlich wie zu Hause!!!,https://www.immobilienscout24.de/expose/125820808,125820808,397.589,4,null,25.843,5.963,1.987,null,"16356 Ahrensfelde, Barnim (Kreis)","137,83 m²",560 m²
1617892570-256,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",NEUBAU! Ihr Haus zum Festpreis! inkl. Grundstück im Grünen! Provisionsfrei!,https://www.immobilienscout24.de/expose/115171068,115171068,288.000,5,null,18.720,4.320,1.440,2020,"15537 Freienbrink, Grünheide (Mark)",124 m²,500 m²
1617892480-233,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=2",NEUNeubau Doppelhaushälfte in Eberswalde.,https://www.immobilienscout24.de/expose/127377057,127377057,335.000,4,23.919,21.775,5.025,1.675,null,"16227 Eberswalde, Barnim (Kreis)",122 m²,320 m²
1617892566-255,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",geplante Reihen- & Doppelhausbebauung in Wandlitz Klosterfelde,https://www.immobilienscout24.de/expose/126046931,126046931,345.260,5,null,22.441,5.178,1.726,2021,"16348 Wandlitz, Barnim (Kreis)",128 m²,260 m²
1617892555-252,"https://www.immobilienscout24.de/Suche/radius/haus-kaufen?centerofsearchaddress=Berlin;;;1276003001;Berlin;&constructionphasetypes=noinformation,completed,underconstruction&rented=false&numberofrooms=4.0-&price=-400000.0&livingspace=110.0-&constructionyear=2010-&geocoordinates=52.51051;13.43068;50.0&enteredFrom=result_list&pagenumber=1",Ohne Eigenkapital in die Eigenen vier Wände ???,https://www.immobilienscout24.de/expose/78552179,78552179,370.000,5,null,24.050,5.550,1.850,unbekannt,"16356 Ahrensfelde, Barnim (Kreis)",186 m²,545 m²
